id	name	prereq	subseq	type	alias	description
23	One-Hand Double Kong	Double Kong, One-Hand Kong	One-Hand Kong One-Hand Reverse	Vault	One-Hand Double Cat Pass	Double Kong using just one hand.
24	Kong Dive Roll	Dive Roll, Double Kong	Kong 360 Dive Roll	Vault/Roll	Cat Pass Dive Roll	Kong Vault straight into a Dive Roll. The Kong is executed as the first Kong in a Double Kong.
25	Kong Precision	Kong Vault	Kong 180 Precision, Kong Safety	Vault/Beam	Cat Pass Precision	Kong Vault to precision landing.
26	Kong Cat	Kong Vault		Vault/Wall	Cat Pass Cat Hang	Kong Vault landing in Cat Hang position.
27	Kong Reverse Kong	Double Kong, Reverse Kong	Kong Cast Bomb	Vault	Cat Pass Reverse Cat Pass	A vault performed over parallel walls in which a Kong Vault is executed into a dive off the first wall to a Reverse Kong off the second wall.
28	Cast Bomb	Castaway Back, Reverse Kong	Cast Bomb Arabian, Kong Cast Bomb	Vault/Flip		Reverse Kong into a Castaway Back. This was first landed by Daniel Arroyo in 2008.
29	Kong Handstand	Dive Handstand, Double Kong		Vault/Handstand	Cat Pass Handstand	Kong Vault landing in a Handstand. The Kong is executed as the first Kong in a Double Kong.
30	Kong Front	Kong Vault	Double Kong Front, Frog Front, Kong Double Front, Kong Front Cat, Kong Front Dash, Kong Front Half, Kong Stall Front, One-Step Kong Front	Vault/Flip	Cat Pass Front	Kong Vault into a front tuck.
31	Kong Stall Front	Kong Front, Stall Front Flip		Vault/Flip	Cat Pass Stall Front, Gato Stall Front	Kong Vault into a stalled front tuck.
32	Frog Front	Kong Front		Flip		Kong Front executed from Frog position (crouching on both hands and feet).
33	Kong One and a Half Full	Kong Front Full		Vault/Flip/Twist	Cat Pass Rudi, Kong Rudi	A one and a half full twisting Kong Front.
34	Kong Front Full	Kong Front Half	Kong One and a Half Full	Vault/Flip/Twist	Cat Pass Front Full	Kong Vault into a Front Full.
35	Kong Front Dash	Dash Vault, Kong Front	Kong Front Dash Bomb	Vault/Flip	Cat Pass Front Dash	A double vault in which a Kong Front off the first wall is executed to a Dash Vault off the second wall.
36	Kong Front Dash Bomb	Kong Front Dash		Vault/Flip	Cat Pass Front Dash Bomb	A vault performed over parallel obstacles in which a Kong Vault is executed off the first wall to a Dash Bomb off the second wall.
37	Kong Gainer	Kong Vault	Dive Kong Gainer, Double Kong Gainer, Elbow Kong Gainer, Frog Gainer, Kong Double Gainer, Kong Gainer Full, Kong Gainer Full-Down, Kong Gainer Kong, Kong Gainer Layout, Kong Gainer Pike, Kong Stall Gainer, Monkey Gainer, One-Hand Kong Gainer, Straddle Kong Gainer, Worm Gainer	Vault/Flip	Cat Pass Gainer	Kong Vault executed into a Gainer. This was first landed by Daniel Ilabaca in 2007.
38	Double Kong Gainer	Double Kong, Kong Gainer	Kong One-Hand Kong Gainer, Triple Kong Gainer	Vault/Flip	Double Cat Pass Gainer	Kong Vault into a dive to a Kong Gainer. This was first landed by Alexander Zyulev in 2012.
39	Kong Double Gainer	Kong Gainer		Vault/Flip	Cat Pass Double Gainer	Kong Vault executed into a Double Gainer. This was first attempted by Pat Greenall in 2012.
40	Kong Gainer Full	Kong Gainer	Kong Gainer Double Full	Vault/Flip/Twist	Cat Pass Gainer Full, Fish	A full twisting Kong Gainer. This was first attempted by Pat Greenall in 2012. This was first landed by Calen Chan of team You Got This in 2016.
41	One-Hand Kong Gainer	Kong Gainer, One-Hand Kong		Vault/Flip	One-Hand Cat Pass Gainer	Kong Gainer using one hand.
42	360 Dive Kong Gainer	360 Dive Kong, Dive Kong Gainer		Vault/Flip/Twist	Vortex Cat Pass Gainer, Vortex Kong Gainer	360 dive into a Kong Gainer.
43	Kash Vault	Dash Vault, Kong Vault	Kash Bomb	Vault		A vault performed over parallel obstacles in which a Kong is executed off the first wall to a Dash off the second wall.
44	Frog Gainer	Kong Gainer	Frog Gainer Full, Frog Stall Gainer, Slant Frog Gainer	Flip	Pasha Gainer	Kong Gainer executed from Frog position (crouching on both hands and feet).
45	Worm Gainer	Kong Gainer		Flip		A worm (Break Dancing move) into a gainer off a ledge. This was invented by Artyom Chernomyrdin in 2012 and first landed by Ethan Klickstein in 2017.
46	Cast Gainer	Castaway Back	Cast Stall Gainer, One-Step Cast Gainer	Bar/Flip	Cast Gainer Tom	A cast off a rail or a wall with a drop into a Gainer over the obstacle. This was first landed by Alfred Scott of Dodo Freerunning in 2013.
47	Kong Tunnel	Kong Vault		Vault/Flip	Cat Pass Tunnel	Kong Vault into a Tunnel Flip.
48	Kong 360	Kong Vault	Kong 360 Dive Roll, Kong 360 Side Vault	Vault/Twist	Cat Pass 360, Screwdriver	Kong Vault into a forward traveling full twisting flat spin. This was first landed by Victor Lopez in 2007.
49	Kong 360 Side Vault	Double Kong, Kong 360		Vault/Twist	Cat Pass 360 Side Vault, Screwdriver Side Vault	Kong 360 into a dive to a Side Vault.
50	360 Kong 360	360 Kong		Vault/Twist	360 Cat Pass 360, Kamikaze	A 360 Kong into a 360 twist off the obstacle.
51	Dash Vault	Thief Vault	360 Dash, Dash 360, Dash Cat, Dash Precision, Dash Roll, Double Dash Vault, Kash Vault, Kong Front Dash, Reverse Dash	Vault		A vault where the practitioner jumps over the obstacle with both feet extended forward and pushes off with both hands as they travel over the obstacle.
52	360 Dash	Dash Vault		Vault/Twist		360 jump into a Dash Vault.
53	Dash 360	Dash Vault		Vault/Twist		Dash Vault into a 360 twist off the obstacle.
54	Dash Roll	Dash Vault	Dash Bomb, Dash Handstand, Gargoyle Dash Roll, Kash Roll	Vault/Roll		Dash into a roll.
55	Dash Bomb	Dash Roll	Dash Bomb Half, Drop Dash Bomb, Kash Bomb, Sitting Dash Bomb	Vault/Flip		Dash Vault into a front tuck. This was first landed by Victor Lopez in 2007.
56	Drop Dash Bomb	Dash Bomb		Flip	Drop Bomb	Dash Bomb executed from standing.
57	Dash Precision	Dash Vault		Vault/Beam		Dash Vault to precision landing.
58	Dash Cat	Dash Vault		Vault		Dash Vault landing in Cat Hang position.
59	Dash Handstand	Dash Roll, Handstand		Vault/Handstand	Dash Rack	Dash Vault landing in a Handstand.
60	Reverse Vault		Double Reverse Vault, One-Hand Reverse, Reverse 360, Reverse Bomb, Reverse Cat, Reverse Dash, Reverse Hyper, Reverse Precision, Reverse Safety	Vault		A vault where the practitioner pushes off the obstacle with both hands into a 360 degree rotation over the obstacle.
61	One-Hand Reverse Double Leg	One-Hand Reverse	One-Hand Reverse Double Leg Gyro, One-Hand Reverse Double Leg Twist	Vault/Flip	Barrel Vault	One-Hand Reverse Vault set into a Double Leg. Reference Club540.com for Double Leg.
62	One-Hand Reverse Double Leg Twist	One-Hand Reverse Double Leg	One-Hand Reverse Double Leg Double Twist	Vault/Flip/Twist	Barrel Full	A full twisting One-Hand Reverse Double Leg. Reference Club540.com for Doubleleg Twist.
63	Reverse 360	Reverse Vault		Vault/Twist		Reverse Vault into a 360 twist off the obstacle.
64	Reverse Cat	Reverse Vault		Vault		Reverse Vault landing in Cat Hang position.
65	Reverse Precision	Reverse Vault		Vault/Beam		Reverse Vault to precision landing.
66	One-Hand Reverse	Reverse Vault	One-Hand Reverse Double Leg, One-Hand Reverse Safety, Reverse Palm Spin	Vault		Reverse Vault using one hand.
67	One-Hand Reverse Safety	One-Hand Reverse, Safety Vault		Vault	One-Hand Reverse Speed Step, One-Hand Reverse Step Vault	One-Hand Reverse into a Safety off a consecutive obstacle.
68	Reverse Dash	Dash Vault, Reverse Vault		Vault		A vault performed over parallel obstacles in which a Reverse is executed off the first wall to a Dash off the second wall.
69	Kong Side Full	Kong Side		Vault/Flip/Twist	Cat Pass Side Full, Helix	A full twisting Kong Side. This was first landed by Scott Maxson in 2014.
70	Speed Vault	Safety Vault	360 Speed Vault, Double Speed, Speed Cat, Speed Pimp, Speed Precision, Speed Safety, Speed Tunnel, Speed Vault 360	Vault		A one-hand vault where the opposite-side leg rises so the other leg can quickly step over the obstacle.
71	360 Speed Vault	Speed Vault		Vault/Twist		360 jump into a Speed Vault.
72	Speed Precision	Speed Vault		Vault/Beam		Speed Vault to precision landing.
73	Speed Cat	Speed Vault		Vault		Speed Vault landing in Cat Hang position.
74	Speed Vault 360	Speed Vault	Speed Vault 540	Vault/Twist		Speed Vault into a 360 twist off the obstacle.
75	Speed Pimp	Pimp Flip, Speed Vault		Vault/Flip		Speed Vault into a Pimp Flip. This was first landed by Gaetan Bouillet of Speeders Family in 2009.
76	Double Speed	Speed Vault		Vault		A double vault in which the Speed Vault off the first wall is used to dive to a Speed off the second wall.
77	Speed Tunnel	Speed Vault, Tunnel Flip	Speed Tunnel Pike	Vault/Flip		Speed Vault set into a Tunnel Flip.
78	Precision		180 Precision, Backward Precision, Hurdle Precision, Punch Tic Tac Precision	Jump/Beam		Any move that lands precisely on an object. Generally, Precision refers to a jump to precise landing.
79	Kong Safety	Kong Precision		Vault	Cat Pass Speed Step, Kong Speed Step, Kong Step Vault	Kong Vault into a Safety Vault off a consecutive obstacle.
80	360 Precision	180 Precision	540 Precision, Stride 360 Precision	Jump/Twist/Beam		A full twisting jump to precision landing.
81	720 Precision	540 Precision		Jump/Twist/Beam		A double full twisting jump to precision landing.
82	Stride 360 Precision	360 Precision		Jump/Twist/Beam	Lunar Eclipse	A stride into a one-foot 360 Precision.
83	Lache		360 Regrab, Lache Cat, Lache Crane, Lache Dive Roll, Lache Front, Lache Lache, Lache Precision, Lache Precision Punch Wall Flip, Lache Punch Wall Inward Front, Lache Side, Lache Two-Foot Wall Inward Side	Bar		Swing off a high bar.
84	360 Regrab	Lache	540 Regrab	Bar/Twist		A backwards swing released into a 360 twist and then regrabbing the bar.
85	Flyaway Full Catch	Flyaway Catch, Flyaway Full		Bar/Flip/Twist	Bar Gainer Full Lache, Pak Full, Bhardwaj, Swing Gainer Full Lache, Swing Gainer Full Catch	Flyaway Full to bar catch. This was first done by Mohini Bhardwaj in 2004.
86	Front Flip		360 Dive Front Flip, Ankle Front, Arabian, Dive Front Flip, Double Front Flip, Front Cat, Front Flip Precision, Front Full, Front Half, Front Kong, Front Pike, Hang Toe Front, Inward Front, Knee Front Flip, One-and-a-Half Front Flip Dive Roll, Reverse Lache Two-Foot Wall Front, Single Ankle Front, Stall Front Flip, Standing Double Front Flip, Tic Tac Front	Flip	Front Tuck	A flip tucked rotating forward around the frontal axis.
87	Front Flip Precision	Front Flip		Beam/Flip		Front Flip to a Precision landing.
88	Front Cat	Front Flip		Flip		Front Flip landing in Cat Hang position.
89	Stomach Webster	Webster Front		Wall/Flip	Sideways Pushup Webster	Webster performed from laying chest down on a ledge with one leg Hang off. Reference Club540.com for Webster.
90	Double Front Flip	Front Flip	Front-In Half-Out, Inward Double Front	Flip		A double rotating Front Flip.
91	Dive Front Flip	Front Flip		Flip	Superman Front	A dive into front tuck.
92	Wall Inward Front	Inward Front	Two-Step Wall Inward Front, Wall Front Two-Foot Wall Flip, Wall Full-Up Inward Front, Wall Inward Front Half, Wall Inward Front Pike	Wall/Flip	Wall Loser	One step up a wall set into a front tuck.
93	Devil Drop	Inward Front	Devil Drop Castaway Inward Front, Devil Drop Half, Devil Drop Stall, Double Devil Drop	Wall/Flip	Cat Belle, Cat Loser, Cat Front	An Inward Front set from Cat Hang position.
94	Punch Wall Inward Front	Inward Front	Hang Castaway Punch Inward Front, Lache Punch Wall Inward Front, Punch Wall Full-Up Inward Front, Punch Wall Inward Double Front, Punch Wall Inward Front Half	Wall/Flip	Two-Foot Wall Inward Front	Punch set on a wall into a inward front tuck.
95	Inward Front Half	Front Half, Inward Front	Inward Dark Arabian Down Monkey	Flip/Twist		A half twisting Inward Front.
96	Front Half	Front Flip	Front Half Dismount Catch, Front Half-In Back-Out, Front-In Half-Out, Inward Front Half	Flip/Twist	Barani	A half twisting Front Flip.
97	Front Full	Front Flip	Rudi	Flip/Twist		A full twisting Front Flip.
98	Rudi	Front Full	Front Double Full	Flip/Twist		A one and a half twisting Front Flip.
99	Randi	Front Double Full		Flip/Twist		A two and a half twisting Front Flip.
100	Tic Tac Front	Front Flip, Tic Tac		Wall/Flip	Wall Front, Tac Front, Tic Front, Pop Front	Tic Tac into a front tuck.
101	Back Flip		Arabian, Back Flip Precision, Back Flip Wall Dive Roll, Back Layout, Castaway Back, Double Back Flip, Gainer, Half-Up Back, Palm Flip, Stall Back Flip, Wall Flip	Flip	Back Tuck	A flip tucked rotating backward around the saggital axis.
102	Back Flip Precision	Back Flip		Beam/Flip		Back Flip to a precision landing.
103	Back Cat	Back Handspring	Back Full Cat	Wall/Flip		Back Flip dismount landing in Cat Hang position.
104	Korbut Flip	Back Layout		Bar/Flip	Back Layout Catch	Back Layout off a bar to catch on the same bar. This move was landed by Olga Korbut in 1972.
105	Back Full	Arabian	Back One and a Half Full	Flip/Twist		A full twisting Back flip.
106	Wall Flip	Back Flip	270 Tic Tac Wall Flip, Inward Wall Flip Cat, One-Step Thread Wall Flip, Punch Wall Flip, Sideway Wall Flip, Trapdoor Wall Flip, Two-Step Wall Flip, Wall Arabian, Wall Double Back, Wall Flash Kick, Wall Flip Switch, Wall Full, Wall Full-Up, Wall Layout, Wall Pike, Wall Rocketboi, Wall Side Flip, Wall Wrap Full	Wall/Flip		One step off a wall into a Back Flip.
107	Wall Full	Wall Flip	Wall Full Double Leg, Wall One and a Half Full	Wall/Flip/Twist	Waffle, Wall Flip 360	A full twisting Wall Flip.
108	Wall Double Full	Wall One and a Half Full	Wall Full Snapu	Wall/Flip/Twist	Double Waffle, Wall Flip 720	A double full twisting Wall Flip.
109	Wall Double Back	Wall Flip		Wall/Flip		Wall Flip with two rotations. This was first landed by Ben Jenx in 2010.
110	Two-Step Wall Flip	Wall Flip	Three-Step Wall Flip, Two-Step Wall Double Back, Two-Step Wall Full, Two-Step Wall Full-Down, Two-Step Wall Stall Back	Wall/Flip		Two steps up a wall into a back tuck.
111	Wall Corkscrew	Corkscrew	Wall Corkscrew Double Leg, Wall Corkscrew Shuriken, Wall Double Corkscrew, Wall Kroc	Wall/Flip/Twist		Corkscrew set off a wall either by J-stepping towards the wall and stepping off the wall with the swing leg or by taking one step up the wall with the non-swing leg into Corkscrew. Reference Club540.com for Corkscrew.
112	Wall Kroc	Wall Corkscrew		Wall/Flip/Twist		An opposite twisting Wall Corkscrew. Reference Club540.com for Kroc.
113	Angel Drop	Back Layout	Angel Drop Down Monkey, Angel Drop Full, Angel Drop Punch Wall Flip, Angel Drop Wall Flip	Wall/Flip		Backflip set from Cat Hang position.
114	Angel Drop Full	Angel Drop	Angel Drop Double Full	Wall/Flip/Twist		Back Full set from Cat Hang position.
115	Macaco Back	Macaco		Wall/Flip	Macaco Bomb, Valdez Bomb	Macaco off a ledge into a back tuck.
116	Wall Arabian	Wall Flip	Corner Wall Arabian, Wall Arabian Dive Roll, Wall Arabian Inward Down Monkey, Wall Arabian Layout, Wall Arabian One and a Half Dive Roll, Wall Arabian Unwind Half	Wall/Flip		One step up a wall into an Arabian.
117	Punch Wall Flip	Wall Flip	Castaway Punch Wall Flip, Corner Worm Punch Wall Flip, Lache Precision Punch Wall Flip, One-Step Punch Wall Flip, Punch Wall Layout, Wall Front Two-Foot Wall Flip, Wall Roll Punch Wall Flip, Wall Roll Punch Wall Flip	Wall/Flip		A two-foot set off a wall into a Wall Flip.
118	Palm Flip	Back Flip	Alleyway Palm Flip, Ceiling Palm Flip, Corner Palm Flip, Dive Palm Flip, Double Palm Flip, Dyno Palm Flip, Elbow Palm Flip, One-Hand Palm Flip, One-Hand Palm Gainer, One-Step Palm Flip, Palm Full, Palm Gainer, Straddle Palm Flip, Wall Spin Flip	Wall/Flip		A two-foot jump set into a back tuck by pushing off a wall with both hands landing in front of the wall.
119	One-Step Palm Layout	One-Step Palm Flip		Wall/Flip		A one step up a wall into a laid out Palm Flip.
120	180 Ceiling Palm Flip 180	180 Ceiling Palm Flip		Ceiling/Flip/Twist		A 180 jump set into a Palm Flip off the ceiling or high bar followed by a 180 twist down.
121	Castaway Back	Back Flip	Cast Bomb, Cast Gainer, Castaway Arabian, Castaway Double Back, Castaway Layout, Castaway Pike, Castaway Pistol, Castaway Side, Castaway Stall Back, Dive Castaway Back, Drop Castaway Back, Elbow Castaway Back, Handstand Castaway Back, Hang Castaway Back, Human Flag Castaway Back, One-Hand Castaway Back, One-Step Castaway Back, Pop Castaway Back, Reverse Hyper Castaway Back, Sideways Castaway Back, Swing Castaway Back, Turn Castaway Back	Bar/Flip	Palm Drop	A castaway set into a back tuck. Castaway refers to the position, casting motion, and the move.
122	Castaway Full	Castaway Arabian	Castaway Arabian Unwind Half, Castaway Double Full, Sitting Turn Castaway Full	Wall/Bar/Flip/Twist	Palm Drop Full	A full twisting Castaway Back.
123	Hang Castaway Back	Castaway Back	Hang Castaway Arabian, Hang Castaway Double Back, Hang Castaway Down Monkey, Hang Castaway Full, Hang Castaway Layout, Hang Castaway Stall Back, Hang Castaway Wall Punch Layout, One-Hand Hang Castaway Back	Wall/Flip		Castaway Back set from Hang position against a wall.
124	Hang Castaway Full	Hang Castaway Back		Wall/Flip/Twist		A full twisting Hang Castaway Back. This was first landed by Vlas Vladimirov in 2014.
125	Drop Castaway Back	Castaway Back		Wall/Flip		Castaway Back set by dropping off a ledge into a push up position.
126	Tsukahara Vault		Kasamatsu Vault, Tsukahara Arabian Vault	Flip/Vault		A handspring with a quarter to half twist dive to the obstacle into a back tuck. Reference Club540 for Back Handspring.
127	Kumquat	Back Layout	Drop Kumquat, Kumquat Full	Bar/Flip	Ping	Back Flip off a bar from sitting position.
128	Kumquat Full	Kumquat	Kumquat One and a Half Full	Bar/Flip/Twist	Ping Full	A full twisting Kumquat.
129	Flyaway		2D Flyaway, Double Flyaway, Elbow Flyaway, Flyaway 180 Tic Tac Regrab, Flyaway Arabian, Flyaway Cat, Flyaway Catch, Flyaway Full, Flyaway Full-Down, Flyaway Kong, Flyaway Layout, Flyaway Punch Wall Layout, Flyaway Rodeo, Flyaway Spider Climb, Flyaway Walkdown, Flyaway X-Out, Hang Gainer, Lotus Flyaway, One-Hand Flyaway	Bar/Flip	Swing Gainer, Bar Gainer	A forward swing released into a back tuck.
130	Inward Flyaway		Double Inward Flyaway, Inward Flyaway Catch, Inward Flyaway Half, Inward Flyaway Inward Down Monkey, Inward Flyaway Regrab, Inward Flyaway Side, Inward Flyaway Wall Punch Dive Roll	Bar/Flip		A backwards swing into a front tuck.
131	Double Back Flip	Back Flip	Back Layout-In Back-Out	Flip		A double rotating Back Flip.
132	Double Flyaway	Flyaway	Double Flyaway Catch, Double Flyaway Full-Down, Flyaway Back-In Layout-Out, Flyaway Double Layout, Flyaway Full-In Back-Out, Flyaway Layout-In Back-Out, Flyaway Precision Punch Wall Flip, Flyaway Stall-Out, Flyaway-In Full-Out, Pike Double Flyaway, Triple Flyaway	Bar/Flip	Swing Double Gainer, Bar Double Gainer	A double rotating Flyaway.
133	Triple Flyaway	Double Flyaway	Flyaway Full-in Triff	Bar/Flip	Andrianov	A triple rotating Flyaway.
134	Sitting Sideway Gainer	Sideway Gainer	Sitting Sideway Gainer Full	Wall/Flip	Sitting Caster Back	A sideways traveling Gainer set from half sitting position parallel on a ledge. The term Side Gainer originates from Gymnastics.
135	Sitting Sideway Gainer Full	Sitting Sideway Gainer		Wall/Flip/Twist	Sitting Caster Gainer Full	A full twisting Sitting Sideway Gainer.
136	Pimp Flip	Gainer	360 Dive Pimp, Castaway Pimp, Frog Pimp, Giant Pimp, Palm Spin Pimp, Parallel Bar Pimp Dismount, Pimp Full, Pimp Wall Layout, Reverse Palm Spin 360 Pimp, Side Vault Pimp, Sitting Turn Pimp Flip, Speed Pimp	Flip		A back tuck parallel to an obstacle set by pushing down on top of the obstacle with one hand. In general, a Pimp is any flip with a back tuck while pushing off the top of an obstacle. This was first landed by Owen Hegarty in 2008.
137	Scoot Pimp Flip	Sitting Turn Pimp Flip	Machine Pimp, Scoot Pimp Full, Scoot Pimp Full-Down	Flip		A scoot off a ledge into a Pimp Flip. Reference Club540.com for Scoot.
138	Sitting Turn Pimp Flip	Pimp Flip	Scoot Pimp Flip, Sideways Sitting Gainer, Sitting Turn Pimp Full, Sitting Turn Pimp Wall Flip	Flip		Pimp Flip set from sitting position.
139	Flyaway Full	Flyaway	Flyaway Double Full, Flyaway Full Catch, Flyaway Full-In Back-Out	Bar/Flip/Twist	Bar Gainer Full, Swing Gainer Full	A full twisting Flyaway.
140	Flyaway Double Full	Flyaway Full	Flyaway Triple Full	Bar/Flip/Twist		A double full twisting Flyaway.
141	Flyaway Full-In Back-Out	Double Flyaway, Flyaway Full	Flyaway Full-In Full-Out	Bar/Flip/Twist	Swing Gainer Full-In Back-Out, Bar Gainer Full-In Back-Out	Flyaway Full into a back tuck.
142	Gainer	Back Flip	Devil Drop Gainer, Double Gainer, Gaet Pimp, Gainer Arabian, Gainer Cat, Gainer Down Monkey, Gainer Flash, Gainer Full-Down, Gainer Layout, Gainer Pike, Gainer Precision, Knee Gainer, One-Hand Palm Gainer, Palm Gainer, Pimp Flip, Running Gainer, Sideway Gainer, Sitting Gainer, Stall Gainer, Wall Gainer	Flip		A two foot jump set into a forward moving back tuck. Note: The Gainer technique used in Parkour/Freerunning is different from the technique used in Tricking. Reference Club540.com for the Tricking version of a Gainer.
143	Gainer Precision	Gainer		Beam/Flip		Gainer to precision landing.
144	Gainer Full	Gainer Arabian	EW Gainer Full, Gainer Double Full, Gainer Full Precision, Gainer Full-In Back-Out, Gainer Unwind Half, Lazy Boy Gainer Full	Flip/Twist	Gainer 360	A full twisting Gainer.
145	Gainer Full Precision	Gainer Full		Beam/Flip/Twist	Gainer 360 Precision	Gainer Full landing in Precision.
146	Sitting Gainer	Gainer		Wall/Flip		Gainer set from sitting position on a ledge.
147	Lazy Gainer	Lazy Vault, Running Gainer		Vault/Flip		Running Gainer set with a Lazy Vault over a vault or rail.
148	Gargoyle Gainer	Running Gainer	Elbow Gargoyle Gainer, Gargoyle Gainer Full	Wall/Flip		Gainer set from Gargoyle position.
149	Gaet Pimp	Gainer	Alleyway Gaet Pimp, Dive Gaet Pimp, Double Gaet Pimp, Elbow Gaet Pimp, Gaet Pimp Full, Gaet Pimp Full-Down, Gaet Pimp Layout, Gaet Pimp Wall Flip, Gaet Stall Pimp, Gaet Wall Full-Up, One-hand Gaet Pimp, Palm Spin Gaet Pimp, Pimp Spin Gainer, Running Turn Gaet Pimp	Beam/Flip	Gaetan Pimp Flip	Pimp Flip variation using uses both hands to push down on the top corner of a low wall or a beam and using either a Punch or a split step to set into a back tuck. This move was created by Gaëtan Bouillet of Speeders Family in 2011.
150	Double Gainer	Gainer	Gainer Full-In Back-Out	Flip		A double rotating Gainer.
151	Devil Drop Gainer	Gainer	Devil Drop Gainer Down Monkey, Devil Drop Gainer Full, Devil Drop Gainer Layout, Devil Drop Gainer Pike, Devil Drop Gainer Stall	Wall/Flip		Gainer set from Cat Hang position.
152	One-Hand Palm Gainer	Gainer, Palm Flip	Dive One-Hand Palm Gainer, Elbow One-Hand Palm Gainer, One-Hand Palm Double Gainer, One-Hand Palm Gainer Full, One-Hand Palm Gainer Full-Down, One-Hand Palm Gainer Layout, One-Hand Palm Gainer Pike, One-Step One-Hand Palm Gainer	Wall/Flip	Ginger Flip, Hi-Five Gainer	Gainer set by pushing against the vertical face of a wall with one hand.
153	Handstand Gainer	Handstand	Handstand Gainer Full	Wall/Flip/Handstand		Gainer set from Handstand.
154	Elbow Palm Flip	Palm Flip		Wall/Flip		Palm Flip using both forearms.
155	Elbow Kong Gainer	Kong Gainer		Vault/Flip	Elbow Cat Pass Gainer	Kong Gainer set by pushing off the vault with both forearms.
